OrderID,CustomerID,ProductID,OrderDate,Quantity,Amount,OrderStatus
50001,1001,501,2026-08-01,1,55000,Completed
50002,1002,502,2026-08-01,2,36000,Completed
50003,1001,503,2026-08-02,2,5000,Completed
50004,1003,501,2026-08-02,1,55000,Pending
50005,1004,502,2026-08-03,1,18000,Cancelled
50006,1005,505,2026-08-03,2,7000,Completed
50007,1006,506,2026-08-04,1,30000,Completed
50008,1007,507,2026-08-04,2,50000,Completed
50009,1008,508,2026-08-05,1,4500,Completed
50010,1009,509,2026-08-05,1,12000,Cancelled
50011,1010,501,2026-08-06,1,55000,Completed
50012,1011,510,2026-08-06,2,17000,Completed
50013,1012,504,2026-08-07,3,3600,Completed
50014,1013,502,2026-08-07,1,18000,Pending
50015,1014,503,2026-08-08,4,10000,Completed
50016,1015,507,2026-08-08,1,25000,Cancelled
50017,1016,511,2026-08-09,1,15000,Completed
50018,1017,513,2026-08-09,2,18000,Completed
50019,1018,514,2026-08-10,1,6000,Completed
50020,1020,518,2026-08-10,1,35000,Completed
